iter	Passed	Remaining
0	2	241
1	4	201
2	6	199
3	7	191
4	10	194
5	12	190
6	14	189
7	16	189
8	18	189
9	20	188
10	22	186
11	25	186
12	27	185
13	29	179
14	30	175
15	32	172
16	34	170
17	36	165
18	38	162
19	39	159
20	41	157
21	43	155
22	45	153
23	47	150
24	49	148
25	50	145
26	52	143
27	55	141
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	67	131
34	70	130
35	72	128
36	74	127
37	76	125
38	79	123
39	80	121
40	82	119
41	83	115
42	86	114
43	88	112
44	90	110
45	91	107
46	92	104
47	94	102
48	96	99
49	97	97
50	100	96
51	101	93
52	103	92
53	105	90
54	107	87
55	109	85
56	111	83
57	113	82
58	116	80
59	118	78
60	120	77
61	123	75
62	125	73
63	127	71
64	128	69
65	131	67
66	133	65
67	136	64
68	138	62
69	139	59
70	141	57
71	142	55
72	144	53
73	147	51
74	148	49
75	151	47
76	152	45
77	154	43
78	156	41
79	158	39
80	159	37
81	162	35
82	163	33
83	165	31
84	167	29
85	169	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	186	11
94	188	9
95	190	7
96	192	5
97	194	3
98	196	1
99	198	0
